,underlying_price,base_volatility,skew,kurtosis
2018-10-12,22694.66,0.2084681523809524,0.07470468571428573,0.011628347619047602
2018-10-15,22271.3,0.23911901904761906,0.07796288571428572,0.0031344380952380846
2018-10-16,22549.24,0.2150515,0.07936210000000002,0.004900850000000012
2018-10-17,22841.12,0.1882579142857143,0.04257418571428573,0.0013189357142857072
2018-10-18,22658.16,0.1945803142857143,0.06987808571428575,0.008476842857142869
2018-10-19,22532.08,0.201654,0.05333614285714283,0.005340999999999985
2018-10-22,22614.82,0.19859759999999999,0.04900815714285717,0.004084478571428601
2018-10-23,22010.78,0.24466613333333334,0.08104079999999997,0.0011765666666666563
2018-10-24,22091.18,0.2303395,0.080119,0.00985542857142857
2018-10-25,21268.73,0.2771040142857143,0.07461384285714284,0.004675792857142813
2018-10-26,21184.6,0.2667476142857143,0.05705531428571431,0.003334128571428563
2018-10-29,21149.8,0.2593119285714286,0.08426807142857146,0.008048464285714263
2018-10-30,21457.29,0.2570269,0.06541720000000001,-0.0017893999999999965
2018-10-31,21920.46,0.2387499857142857,0.07543455714285718,0.008734378571428586
2018-11-01,21687.65,0.24897955714285713,0.07963804285714288,-0.006636607142857104
2018-11-02,22243.66,0.2279983619047619,0.05450084285714285,0.008082159523809557
2018-11-05,21898.99,0.24835469999999998,0.05448097142857142,0.00836678571428573
2018-11-06,22147.75,0.2414235,0.04388310000000001,0.0072557499999999775
2018-11-07,22085.8,0.22338887142857144,0.04350067142857142,0.004021578571428541
2018-11-08,22486.92,0.17989507142857142,0.034406214285714276,0.0131111785714286
2018-11-09,22250.25,0.1716745,0.04103399999999999,0.007691000000000003
2018-11-12,22269.88,0.17197,0.03946949999999999,0.005517250000000001
2018-11-13,21810.52,0.195488,0.052289,0.005693000000000004
2018-11-14,21846.48,0.1950512142857143,0.05369241071428574,0.006851508928571393
2018-11-15,21803.62,0.20222728571428572,0.045082571428571416,0.007813928571428569
2018-11-16,21680.34,0.2025199285714286,0.05394155357142855,0.008915116071428558
2018-11-19,21821.16,0.19444107142857142,0.04264032142857141,0.0036625892857142794
2018-11-20,21583.12,0.19600450000000003,0.05154500000000001,0.0038609999999999756
2018-11-21,21507.54,0.1954307142857143,0.04286971428571429,0.005889142857142843
2018-11-22,21646.55,0.18794726785714286,0.02906060714285713,0.003100071428571438
2018-11-26,21812.0,0.19043951785714286,0.03637062499999999,0.0025905089285714333
2018-11-27,21952.4,0.19327750000000002,0.024855249999999995,0.003604625
2018-11-28,22177.02,0.19169344642857145,0.021194982142857144,0.004306848214285702
2018-11-29,22262.6,0.18174214285714285,0.03962521428571428,0.009313892857142847
2018-11-30,22351.06,0.18421466071428572,0.03955358928571426,0.005096901785714314
2018-12-03,22574.76,0.16152878571428572,0.022515000000000007,0.0020680714285714052
2018-12-04,22036.05,0.16912741666666667,0.030072500000000002,0.008071208333333357
2018-12-05,21919.33,0.17603046428571428,0.0517100357142857,0.007147232142857118
2018-12-06,21501.62,0.2035595357142857,0.06557910714285714,0.007048517857142861
2018-12-07,21678.68,0.19096514285714286,0.06262064285714289,0.007018535714285706
2018-12-10,21219.5,0.20815882142857145,0.07965930357142853,0.015695151785714262
2018-12-11,21148.02,0.20121499999999998,0.06686,0.01151350000000001
2018-12-14,21374.83,0.19545679761904763,0.052487232142857165,0.005393372023809517
2018-12-17,21506.88,0.18395096428571428,0.04165657142857143,0.008112964285714314
2018-12-18,21115.45,0.2140225,0.03677629166666668,-0.0010174791666666683
2018-12-19,20987.92,0.2174485,0.04306328571428569,0.000976928571428587
2018-12-20,20392.58,0.24642803571428573,0.07978941071428575,0.0037984374999999737
2018-12-21,20166.19,0.25215114285714285,0.0699534285714285,0.0003518214285714305
2018-12-25,19155.74,0.3437475,0.13444275000000006,0.008353625000000031
2018-12-26,19327.06,0.3193083392857143,0.08151969642857138,0.005003419642857165
2018-12-27,20077.62,0.2609296428571429,0.08555135714285711,0.0069908928571428275
2018-12-28,20014.77,0.2753793392857143,0.07898637500000003,0.011681383928571432
2019-01-04,19561.96,0.2679425714285715,0.0819176428571429,0.004885607142857129
2019-01-07,20038.97,0.2516765357142857,0.05409448214285717,0.006354526785714298
2019-01-08,20204.04,0.220701,0.046039,0.0046519999999999895
2019-01-11,20359.7,0.2170035892857143,0.06103924404761907,0.0028083720238094856
2019-01-15,20555.29,0.201240125,0.0572530416666667,0.0076117708333333645
2019-01-16,20442.75,0.19651435714285714,0.05343678571428573,0.006611392857142878
2019-01-17,20402.27,0.18898964285714287,0.06333976785714288,0.010041348214285706
2019-01-18,20666.07,0.17868078571428575,0.05217778571428572,0.007799357142857094
2019-01-21,20719.33,0.18202228571428572,0.04101323214285715,0.005047241071428593
2019-01-22,20622.91,0.18464283333333334,0.05365950000000003,0.0009169166666666562
2019-01-23,20593.72,0.18114239285714287,0.05207839285714286,0.00992558928571427
2019-01-24,20574.63,0.17747728571428573,0.05168735714285716,0.007431392857142866
